"WID","login_count","level","playcount_sum","playtime_sum","recent_date","mode"
W11358,2472,48,44,16536,2022-07-10,1
W11397,3043,58,105,57659,2022-12-22,4
W11397,3043,58,1506,946227,2023-04-18,3
W11397,3043,58,1835,644812,2023-06-13,5
W11397,3043,58,187,60805,2023-06-13,1
W11449,1774,54,899,565854,2023-06-30,3
W11449,1774,54,44,26181,2023-02-01,4
W11449,1774,54,2040,695512,2023-06-30,5
W11449,1774,54,190,53738,2023-06-29,1
W11454,868,51,31,23730,2022-06-24,4
W11454,868,51,876,509800,2022-07-05,3
W11454,868,51,3,852,2022-05-03,1
W11454,868,51,414,132968,2022-07-05,5
W11619,915,51,42,42294,2022-08-26,4
W11619,915,51,164,71085,2023-02-28,1
W11619,915,51,1425,444451,2023-06-22,5
W11619,915,51,705,418234,2023-06-22,3
W11624,1104,51,105,83492,2022-12-08,4
W11624,1104,51,571,164360,2023-03-18,5
W11624,1104,51,723,516818,2023-06-30,3
W11624,1104,51,13,6295,2022-12-11,1
W11632,2168,61,34,17864,2023-06-19,4
W11632,2168,61,1878,1179911,2023-06-24,3
W11632,2168,61,1875,657526,2023-06-25,5
W11632,2168,61,712,306842,2023-06-26,1
W11632,2168,61,6,8924,2023-05-25,2
W11678,3506,48,652,350664,2022-10-21,3
W11678,3506,48,694,207788,2022-10-22,5
W11678,3506,48,34,20201,2023-02-28,1
W11678,3506,48,5,4008,2022-09-02,4
W11747,1479,47,55,44041,2023-06-21,4
W11747,1479,47,316,169617,2023-06-28,3
W11747,1479,47,593,173389,2023-06-27,1
W11747,1479,47,435,143726,2023-06-27,5
W11993,769,53,9,6150,2022-11-15,4
W11993,769,53,1055,606554,2022-12-19,3
W11993,769,53,227,69206,2023-01-06,5
W11993,769,53,7,2498,2022-11-12,1
W12033,458,47,613,418568,2022-06-21,3
W12036,588,47,13,9039,2022-08-14,4
W12036,588,47,488,296711,2022-09-08,3
W12036,588,47,3,630,2022-07-08,1
W12036,588,47,134,38308,2022-09-05,5
W12038,551,48,11,12404,2022-03-23,4
W12038,551,48,669,377701,2022-09-19,3
W12038,551,48,24,7320,2022-07-20,5
W12038,551,48,2,1335,2022-05-29,1
W12059,953,54,721,226418,2022-07-01,5
W12059,953,54,9,6129,2022-04-27,4
W12059,953,54,1401,682079,2022-07-01,3
W12059,953,54,277,74943,2022-07-01,1
W12161,2072,60,1952,1105998,2023-06-30,3
W12161,2072,60,44,16857,2023-04-24,1
W12161,2072,60,58,42539,2023-06-21,4
W12161,2072,60,878,276221,2023-06-30,5
W12161,2072,60,2,3340,2023-05-05,2
W12259,1535,52,502,326884,2023-06-11,3
W12259,1535,52,58,50449,2023-05-20,4
W12259,1535,52,963,338196,2023-06-02,5
W12259,1535,52,697,359994,2023-06-07,1
W12365,1340,60,133,113058,2023-06-15,4
W12365,1340,60,1158,928630,2023-06-30,3
W12365,1340,60,610,239208,2023-06-30,1
W12365,1340,60,696,231250,2023-06-30,5
W12433,1218,54,2,1555,2022-04-23,4
W12433,1218,54,1067,702815,2023-04-12,3
W12433,1218,54,17,5451,2023-03-17,5
W12433,1218,54,14,4384,2023-03-17,1
W12495,530,49,77,32129,2022-05-24,4
W12495,530,49,600,169319,2022-05-29,5
W12495,530,49,696,494367,2022-06-09,3
W12495,530,49,12,2021,2022-05-28,1
W12590,715,55,1067,826736,2023-01-09,3
W12590,715,55,10,5637,2022-12-14,4
W12590,715,55,44,14281,2023-01-01,5
W12618,1082,56,14,5246,2023-03-15,4
W12618,1082,56,749,299387,2023-05-23,5
W12618,1082,56,1852,1109767,2023-06-04,3
W12618,1082,56,416,156986,2023-06-09,1
W12618,1082,56,397,230505,2023-06-07,2
W12683,1218,51,13,16139,2023-03-12,4
W12683,1218,51,17,21107,2023-04-16,3
W12683,1218,51,702,315618,2023-05-19,1
W12683,1218,51,20,6614,2023-04-21,5
W12770,1084,54,376,148342,2023-06-30,1
W12770,1084,54,3,3330,2023-01-28,4
W12770,1084,54,1507,943538,2023-06-30,3
W12770,1084,54,454,161897,2023-06-27,5
W12786,1070,54,6,6520,2022-06-11,4
W12786,1070,54,1491,858363,2023-06-30,3
W12786,1070,54,931,292308,2023-06-26,5
W12786,1070,54,5,1150,2023-05-27,1
W12881,285,50,633,406190,2023-04-23,3
W12881,285,50,3,3149,2022-03-23,4
W12881,285,50,5,1989,2023-03-18,5
W12970,1900,54,59,41164,2023-06-16,4
W12970,1900,54,938,545975,2023-06-30,3
W12970,1900,54,439,144479,2023-06-30,5
W12970,1900,54,240,101025,2023-06-30,1
W13021,1560,52,767,456491,2023-06-18,3
W13021,1560,52,120,96293,2023-06-30,1
W13021,1560,52,20,17752,2023-05-19,4
W13021,1560,52,2493,813044,2023-06-30,5
W13067,714,47,59,23479,2023-05-01,4
W13067,714,47,319,207662,2023-06-23,3
W13067,714,47,196,53514,2023-04-29,5
W13067,714,47,22,5555,2023-06-04,1
W13067,714,47,1,1642,2023-06-23,2
W13077,1386,56,16,14817,2023-04-22,4
W13077,1386,56,2302,918750,2023-06-29,5
W13077,1386,56,1208,710552,2023-06-28,3
W13077,1386,56,133,58084,2023-05-15,1
W13186,335,51,31,37394,2023-01-07,4
W13186,335,51,814,466884,2023-04-13,3
W13186,335,51,12,4614,2023-03-14,5
W13223,1674,59,26,13847,2022-10-22,4
W13223,1674,59,2190,1052263,2023-06-27,3
W13223,1674,59,710,250232,2023-05-31,5
W13223,1674,59,174,73347,2023-06-01,1
W13277,2581,58,108,60621,2023-06-30,4
W13277,2581,58,1233,614748,2023-06-15,3
W13277,2581,58,1440,425038,2023-06-12,5
W13277,2581,58,772,325677,2023-06-11,1
W13283,617,49,36,40874,2022-12-17,4
W13283,617,49,590,429427,2023-04-08,3
W13283,617,49,456,142328,2023-04-24,5
W13283,617,49,51,21918,2023-04-24,1
W13316,2333,60,910,764450,2023-06-26,3
W13316,2333,60,330,243078,2023-05-23,4
W13316,2333,60,1898,588794,2023-06-27,5
W13316,2333,60,547,261791,2023-06-24,1
W13476,1166,57,3,3257,2023-03-30,4
W13476,1166,57,1232,1009269,2023-05-02,3
W13476,1166,57,909,259884,2023-05-02,5
